(0, 1, 0)	1	0	148062	373502	18	17
(1, 0, 0)	2	0	555804	443530	28	28
(0, 2, 0)	1	0	216366	240823	21	20
(2, 0, 0)	2	0	718554	201903	27	27
(0, 3, 0)	1	0	768813	840888	37	36
(3, 0, 0)	2	0	782166	597329	39	39
(0, 4, 0)	1	0	631188	509662	34	33
(4, 0, 0)	2	0	419129	421915	23	23
(0, 5, 0)	1	0	604311	735724	27	26
(5, 0, 0)	2	0	297566	64697	14	14
(0, 6, 0)	1	0	528999	654554	24	23
(6, 0, 0)	2	0	184106	18052	6	6
(0, 7, 0)	1	0	724046	470959	35	34
(7, 0, 0)	2	0	520239	686731	33	33
(0, 8, 0)	1	0	414197	482146	26	25
(8, 0, 0)	2	0	128821	20014	12	12
(0, 9, 0)	1	0	438434	155799	30	29
(9, 0, 0)	2	0	168313	539278	31	31
(0, 10, 0)	1	0	455784	733213	31	30
(10, 0, 0)	2	0	309014	64367	14	14
(0, 11, 0)	1	0	524693	745966	31	30
(11, 0, 0)	2	0	248109	59839	15	15
(1, 2, 0)	0	0	970779	999567	110	110
(2, 1, 0)	1	0	942610	802561	52	51
(1, 3, 0)	1	0	766052	865512	47	46
(3, 1, 0)	2	0	698154	513141	35	35
(1, 4, 0)	1	0	628298	578770	30	29
(4, 1, 0)	2	0	781181	778352	44	44
(1, 5, 0)	1	0	419703	735242	31	30
(5, 1, 0)	2	0	230983	198453	13	13
(1, 6, 0)	1	0	530662	636360	30	29
(6, 1, 0)	2	0	184875	131031	6	6
(1, 7, 0)	1	0	391242	375428	28	27
(7, 1, 0)	2	0	249341	374807	28	28
(1, 8, 0)	1	0	348131	415360	25	24
(8, 1, 0)	2	0	127365	175487	14	14
(1, 9, 0)	1	0	402311	85597	29	28
(9, 1, 0)	2	0	49774	319004	23	23
(1, 10, 0)	1	0	498186	804169	33	32
(10, 1, 0)	2	0	238778	219063	15	15
(1, 11, 0)	1	0	372159	823042	30	29
(11, 1, 0)	2	0	250633	245734	20	20
(2, 3, 0)	1	0	822937	822610	44	43
(3, 2, 0)	2	0	713350	830052	36	36
(2, 4, 0)	1	0	825914	642938	35	34
(4, 2, 0)	1	0	436081	720980	35	34
(2, 5, 0)	1	0	690530	640010	41	40
(5, 2, 0)	2	0	299378	259983	14	14
(2, 6, 0)	1	0	761478	727088	26	25
(6, 2, 0)	2	0	129490	11460	11	11
(2, 7, 0)	1	0	311576	396707	26	25
(7, 2, 0)	2	0	653175	920521	50	50
(2, 8, 0)	1	0	707129	556894	32	31
(8, 2, 0)	2	0	128390	16067	14	14
(2, 9, 0)	1	0	770467	273874	36	35
(9, 2, 0)	2	0	57970	479449	22	22
(2, 10, 0)	1	0	587726	779016	29	28
(10, 2, 0)	2	0	314297	193925	16	16
(2, 11, 0)	1	0	620922	844193	30	29
(11, 2, 0)	2	0	241391	354051	19	19
(3, 4, 0)	0	0	979162	995804	110	110
(4, 3, 0)	2	0	653927	706459	38	38
